Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2010-08-17,8.998929,122.801147,73.220001,28.059999,65.550003,59.220001,23.049999,15.436433,51.02
2010-08-18,9.038214,123.699806,73.25,27.92,65.519997,59.349998,23.09,15.275142,50.860001
2010-08-19,8.924286,123.231361,72.970001,27.639999,64.660004,58.720001,23.0,15.208729,50.060001
2010-08-20,8.915714,121.892921,73.080002,27.65,64.800003,58.740002,23.02,15.104364,50.220001
2010-08-23,8.778571,120.908218,73.339996,27.799999,64.82,58.869999,22.84,15.275142,51.139999
2010-08-24,8.568929,119.407265,72.720001,27.83,64.779999,58.009998,22.41,15.009488,51.299999
2010-08-25,8.674643,119.760994,73.190002,27.695,64.57,57.98,22.42,15.170778,51.549999
2010-08-26,8.581429,117.380501,73.160004,27.58,64.129997,57.799999,22.25,15.085389,50.970001
2010-08-27,8.629286,119.244743,73.989998,28.08,64.120003,57.599998,22.51,15.265655,51.0
2010-08-30,8.660714,117.973228,72.739998,27.775,63.599998,57.299999,22.02,15.047438,50.549999
2010-08-31,8.682143,117.715103,73.059998,27.940001,64.18,57.02,21.84,15.094877,50.139999
2010-09-01,8.940357,120.239006,74.540001,28.655001,64.889999,58.290001,22.620001,15.44592,51.200001
2010-09-02,9.006071,119.541107,75.019997,28.690001,64.970001,58.610001,22.48,15.559772,51.759998
2010-09-03,9.241786,121.969406,75.089996,28.780001,65.57,58.93,22.92,15.616698,52.040001
2010-09-07,9.2075,120.411087,75.800003,28.815001,65.480003,58.700001,24.26,15.493359,51.860001
2010-09-08,9.39,120.53537,76.080002,28.915001,65.43,58.849998,24.139999,15.711575,51.830002
2010-09-09,9.395357,120.803062,74.370003,29.145,66.099998,59.82,24.33,15.910816,51.91
2010-09-10,9.4075,122.361374,75.010002,29.26,66.410004,59.98,25.049999,16.119545,51.970001
2010-09-13,9.537143,123.910133,74.57,29.014999,66.25,60.32,25.110001,16.100569,52.209999
2010-09-14,9.573571,123.183556,73.940002,28.795,65.980003,60.580002,25.379999,16.204933,52.66
2010-09-15,9.650714,123.738052,74.709999,28.709999,66.5,61.049999,25.74,16.385199,52.860001
2010-09-16,9.8775,123.967499,74.800003,28.754999,66.610001,61.290001,25.360001,16.290323,53.150002
2010-09-17,9.834643,124.46463,74.32,28.780001,66.120003,61.57,27.48,16.185959,53.009998
2010-09-20,10.115357,125.994263,75.110001,28.985001,66.889999,62.09,27.49,16.394688,53.540001
2010-09-21,10.134643,126.175911,75.510002,29.055,66.459999,61.939999,26.82,16.26186,53.57
2010-09-22,10.276786,126.73996,75.129997,29.115,66.660004,61.970001,27.200001,16.337761,53.82
2010-09-23,10.318571,125.879539,74.639999,28.934999,65.790001,61.810001,27.120001,16.166983,53.650002
2010-09-24,10.44,128.212234,75.099998,29.309999,66.129997,62.139999,26.959999,16.508539,54.080002
2010-09-27,10.398571,128.728485,74.760002,29.299999,66.370003,62.029999,26.950001,16.290323,53.48
2010-09-28,10.245,128.957932,74.629997,29.549999,66.779999,62.43,27.190001,16.537003,53.82
2010-09-29,10.263214,129.521988,74.449997,29.379999,66.75,62.310001,27.17,16.508539,53.349998
2010-09-30,10.133929,128.240921,74.510002,29.26,66.440002,61.959999,26.85,16.290323,53.52
2010-10-01,10.09,129.674957,74.919998,29.559999,67.0,61.75,27.24,16.29981,53.360001
2010-10-04,9.951429,129.302109,74.949997,29.440001,66.870003,61.669998,26.9,16.034157,53.57
2010-10-05,10.319286,131.606125,75.82,29.83,67.760002,62.799999,27.299999,16.347248,54.0
2010-10-06,10.328214,131.778198,75.559998,29.9,68.110001,63.209999,27.58,16.375711,54.560001
2010-10-07,10.329286,132.619507,75.860001,29.719999,66.099998,63.220001,27.690001,16.489565,54.360001
2010-10-08,10.5025,132.74379,76.099998,29.705,65.75,63.23,28.0,16.565466,54.41
2010-10-11,10.548571,133.518158,75.589996,29.780001,65.519997,63.299999,27.85,16.489565,54.610001
2010-10-12,10.662143,133.699814,75.580002,29.799999,66.080002,63.290001,27.950001,16.58444,53.919998
2010-10-13,10.719286,134.196945,75.75,29.969999,66.400002,63.580002,28.6,16.821632,53.82
2010-10-14,10.796786,135.277252,77.040001,29.955,66.639999,63.740002,28.33,16.755219,53.25
2010-10-15,11.240714,134.856598,77.480003,29.969999,66.68,63.57,28.9,16.840607,53.349998
2010-10-18,11.357143,136.548752,77.32,30.0,66.5,63.860001,29.23,16.888046,53.759998
2010-10-19,11.053214,131.959854,76.989998,30.17,65.410004,63.290001,29.129999,16.49905,53.32
2010-10-20,11.090357,132.954117,77.410004,30.575001,64.970001,63.599998,28.639999,16.755219,53.470001
2010-10-21,11.054286,133.680695,78.440002,30.735001,65.18,63.990002,28.82,16.726755,54.029999
2010-10-22,10.981071,133.527725,78.550003,30.805,65.010002,63.810001,28.99,16.603416,54.060001
2010-10-25,11.03,133.690247,78.699997,30.504999,65.050003,63.98,28.84,16.717268,53.950001
2010-10-26,11.001786,134.483749,78.760002,30.620001,64.790001,63.84,28.629999,16.593927,54.560001
2010-10-27,10.993929,135.210327,77.480003,30.594999,64.269997,63.57,28.700001,16.394688,53.869999
2010-10-28,10.901429,134.703629,77.480003,30.605,65.010002,63.560001,29.360001,16.669828,54.080002
2010-10-29,10.749286,137.284897,77.769997,30.66,65.300003,63.740002,29.379999,16.527514,54.169998
2010-11-01,10.863571,137.017212,77.879997,30.855,65.550003,63.689999,29.129999,16.717268,54.310001
2010-11-02,11.048571,137.514343,78.400002,30.93,65.800003,63.880001,29.530001,16.555977,54.790001
2010-11-03,11.171429,137.829834,78.5,30.975,65.199997,64.190002,29.200001,16.688805,54.91
2010-11-04,11.366786,140.33461,79.18,31.225,65.349998,64.760002,29.469999,16.489565,55.360001
2010-11-05,11.326071,140.458893,79.300003,31.290001,65.080002,64.650002,29.25,16.29981,55.200001
2010-11-08,11.379286,140.019119,79.309998,31.23,65.110001,64.330002,29.040001,16.176472,54.91
