Date,Open,High,Low,Close,Adj Close,Volume
2023-05-17,193.309998,193.589996,190.839996,192.059998,186.538437,4878800
2023-05-18,191.320007,191.710007,190.410004,191.559998,186.052826,3709400
2023-05-19,192.460007,192.860001,191.100006,191.839996,186.324783,3883000
2023-05-22,191.190002,191.389999,186.410004,186.639999,181.274277,5787000
2023-05-23,186.490005,186.630005,184.589996,186.070007,180.720673,6382300
2023-05-24,186.270004,186.740005,184.369995,184.889999,179.574585,3721000
2023-05-25,182.699997,184.220001,181.949997,183.800003,178.515930,4712700
2023-05-26,183.710007,184.250000,182.399994,183.580002,178.302261,4449300
2023-05-30,182.059998,183.089996,180.699997,181.610001,176.388885,4331800
2023-05-31,182.860001,184.619995,181.460007,182.350006,177.107605,20414600
2023-06-01,182.419998,182.690002,180.800003,182.190002,178.188339,5277400
2023-06-02,182.020004,184.289993,181.699997,184.059998,180.017273,4288300
2023-06-05,183.850006,186.169998,183.610001,184.190002,180.144409,4311700
2023-06-06,184.979996,185.119995,180.429993,181.559998,177.572159,3975600
2023-06-07,180.710007,181.740005,179.699997,180.110001,176.154022,5162700
2023-06-08,179.699997,182.300003,179.330002,182.100006,178.100327,4036100
2023-06-09,181.710007,182.830002,181.000000,182.350006,178.344833,3200100
2023-06-12,182.490005,182.729996,180.690002,181.899994,177.904709,4207100
2023-06-13,182.130005,182.190002,181.080002,181.539993,177.552597,2838700
2023-06-14,182.000000,183.649994,181.440002,183.169998,179.146805,3559300
2023-06-15,184.259995,186.169998,183.520004,185.710007,181.631027,4326100
2023-06-16,186.139999,187.589996,185.699997,186.039993,181.953766,8925100
2023-06-20,186.539993,187.869995,185.240005,185.309998,181.239807,4154800
2023-06-21,185.720001,186.880005,184.190002,185.429993,181.357162,3832400
2023-06-22,186.729996,187.580002,185.869995,187.350006,183.235001,3185800
2023-06-23,188.000000,188.000000,185.949997,186.070007,181.983139,7592600
2023-06-26,186.160004,186.429993,184.119995,184.889999,180.829041,3706100
2023-06-27,184.669998,186.610001,183.960007,186.220001,182.129822,5763000
2023-06-28,186.250000,186.740005,183.380005,183.699997,179.665161,5193900
2023-06-29,183.250000,183.889999,181.389999,183.880005,179.841217,5770400
2023-06-30,184.039993,185.520004,183.880005,185.220001,181.151779,7635100
2023-07-03,184.300003,185.639999,183.470001,185.600006,181.523453,2389000
2023-07-05,185.000000,186.690002,184.970001,186.580002,182.481918,5277100
2023-07-06,185.809998,186.750000,184.889999,186.600006,182.501495,5592100
2023-07-07,185.820007,185.880005,183.029999,183.080002,179.058792,6309900
2023-07-10,184.070007,185.910004,183.779999,184.300003,180.252014,5508800
2023-07-11,184.380005,184.729996,182.419998,183.979996,179.939011,3915200
2023-07-12,183.979996,184.610001,182.979996,183.169998,179.146805,6080100
2023-07-13,185.800003,188.059998,183.259995,187.529999,183.411041,8223100
2023-07-14,187.860001,188.630005,187.089996,188.210007,184.076126,4467000
2023-07-17,186.339996,187.009995,185.419998,185.630005,181.552780,5637400
2023-07-18,185.440002,186.820007,183.820007,184.449997,180.398697,5684100
2023-07-19,185.000000,186.600006,184.419998,186.259995,182.168945,4140800
2023-07-20,187.500000,189.990005,186.809998,189.300003,185.142181,5056500
2023-07-21,190.110001,191.470001,189.300003,190.160004,185.983276,15021400
2023-07-24,190.589996,191.429993,190.139999,190.919998,186.726593,4225800
2023-07-25,190.410004,192.009995,190.059998,191.360001,187.156921,3521600
2023-07-26,191.119995,192.380005,190.059998,191.600006,187.391663,3898900
2023-07-27,192.000000,192.289993,188.399994,188.529999,184.389084,4141800
2023-07-28,190.139999,191.369995,189.789993,190.309998,186.129990,5602300
2023-07-31,189.449997,189.589996,186.850006,187.460007,183.342590,5687700
2023-08-01,187.490005,188.600006,186.399994,186.820007,182.716644,2853900
2023-08-02,186.589996,189.970001,186.399994,188.309998,184.173920,4285900
2023-08-03,188.169998,189.220001,186.970001,187.119995,183.010040,2857400
2023-08-04,187.119995,188.009995,184.350006,184.600006,180.545410,4650400
2023-08-07,185.279999,187.210007,185.100006,186.889999,182.785110,3323400
2023-08-08,187.199997,187.479996,184.029999,184.440002,180.388931,5017900
2023-08-09,183.880005,185.000000,182.630005,183.979996,179.939011,4413100
2023-08-10,184.220001,185.589996,183.529999,183.750000,179.714066,3727200
2023-08-11,184.000000,184.279999,183.279999,184.039993,179.997711,2872500
2023-08-14,184.389999,184.860001,183.130005,183.619995,179.586914,3385600
2023-08-15,183.149994,183.460007,181.130005,181.350006,177.366806,3331800
2023-08-16,181.600006,182.949997,180.949997,181.210007,177.229874,2633700
2023-08-17,181.210007,181.410004,178.320007,178.449997,174.530487,4503000
2023-08-18,178.460007,179.550003,177.270004,178.179993,174.266403,6020300
2023-08-21,177.729996,177.960007,176.229996,177.050003,173.161240,4284100
2023-08-22,176.179993,176.820007,175.309998,175.699997,171.840897,3491500
2023-08-23,177.250000,178.279999,176.369995,178.119995,174.207733,4042700
2023-08-24,178.009995,180.440002,177.100006,177.179993,173.288376,5709800
2023-08-25,178.059998,179.710007,177.839996,179.419998,175.479172,4710700
2023-08-28,180.820007,181.179993,179.339996,180.250000,176.290939,3189800
2023-08-29,180.300003,181.220001,179.020004,180.929993,176.956009,4368600
2023-08-30,181.460007,182.259995,180.720001,181.080002,177.102737,3153400
2023-08-31,179.339996,179.630005,177.860001,177.919998,175.236298,5566700
2023-09-01,178.729996,178.809998,174.639999,175.320007,172.675522,4800400
2023-09-05,175.270004,175.880005,173.649994,174.160004,171.533005,5081800
2023-09-06,174.919998,174.990005,173.479996,174.729996,172.094421,5933800
2023-09-07,175.850006,177.059998,175.210007,176.399994,173.739227,4934300
2023-09-08,175.809998,177.149994,175.610001,176.270004,173.611191,2995000
2023-09-11,176.830002,179.429993,176.830002,178.929993,176.231064,4512700
2023-09-12,178.740005,178.919998,177.800003,178.270004,175.581024,3331100
2023-09-13,178.330002,180.139999,178.210007,179.679993,176.969742,3781400
2023-09-14,179.940002,181.690002,179.330002,181.229996,178.496368,4118300
2023-09-15,181.410004,181.820007,179.610001,179.839996,177.127319,11656000
2023-09-18,181.000000,181.000000,178.429993,179.380005,176.674286,3182600
2023-09-19,178.860001,179.130005,177.300003,178.320007,175.630264,3369300
2023-09-20,179.089996,179.419998,177.559998,178.380005,175.689377,3695800
2023-09-21,178.100006,178.330002,175.130005,175.380005,172.734604,5351000
2023-09-22,174.940002,176.389999,174.369995,175.270004,172.626282,4542300
2023-09-25,174.679993,175.440002,173.179993,174.330002,171.700455,3553600
2023-09-26,173.000000,173.720001,171.639999,172.520004,169.917755,5213700
2023-09-27,172.309998,172.690002,169.029999,169.570007,167.012253,5729900
2023-09-28,169.929993,170.179993,168.179993,169.500000,166.943314,4841600
2023-09-29,170.509995,170.839996,168.039993,169.440002,166.884201,5194200
2023-10-02,169.080002,169.490005,167.320007,169.169998,166.618271,3838800
2023-10-03,168.860001,170.000000,167.029999,167.699997,165.170441,4873400
2023-10-04,168.449997,169.130005,167.059998,168.910004,166.362198,4134000
2023-10-05,168.770004,168.809998,159.869995,160.100006,157.685104,10556400
2023-10-06,158.779999,160.919998,155.830002,160.289993,157.872208,12770700
2023-10-09,160.000000,161.419998,158.639999,161.360001,158.926086,7244500
2023-10-10,164.250000,165.179993,162.029999,164.399994,161.920227,11456400
2023-10-11,165.009995,165.440002,161.600006,162.619995,160.167084,7371500
2023-10-12,162.600006,162.649994,157.429993,158.080002,155.695557,9024100
